Encoder Times,Decoder Times,Key Generation Times
0.000193,0.070436,0.100148
0.000289,0.137886,0.100148
0.000446,0.243044,0.100148
0.000418,0.279244,0.100148
0.000515,0.316390,0.100148
0.000667,0.470318,0.100148
0.000773,0.492758,0.100148
0.000886,0.504130,0.100148
0.000758,0.714542,0.100148
0.001294,0.695672,0.100148
0.001118,0.808153,0.100148
0.001829,0.845522,0.100148
0.001398,0.884494,0.100148
0.001523,0.965385,0.100148
0.002229,1.035971,0.100148
0.001657,1.055993,0.100148
0.001960,1.184857,0.100148
0.002834,1.176789,0.100148
0.001613,1.339355,0.100148
0.001888,1.276725,0.100148
0.001838,1.584872,0.100148
0.002985,1.404468,0.100148
0.002208,1.502634,0.100148
0.002308,1.670544,0.100148
0.002165,1.822574,0.100148
0.002505,1.643705,0.100148
0.002680,1.841068,0.100148
0.002466,1.595610,0.100148
0.002529,1.990185,0.100148
0.002448,1.984315,0.100148
0.002825,2.055452,0.100148
0.004493,2.262886,0.100148
0.003441,2.686328,0.100148
0.003023,2.476393,0.100148
0.003079,2.594021,0.100148
0.003312,2.397379,0.100148
0.003517,2.605652,0.100148
0.003158,2.594707,0.100148
0.003448,2.541098,0.100148
0.003559,2.684446,0.100148
0.003574,2.808097,0.100148
0.003857,2.945157,0.100148
0.004356,3.006018,0.100148
0.005074,2.865193,0.100148
0.004186,2.869920,0.100148
0.004495,3.165311,0.100148
0.004374,3.037738,0.100148
0.005671,3.103595,0.100148
0.004293,3.205496,0.100148
0.004511,3.204572,0.100148
0.004705,3.357212,0.100148
0.006076,3.501370,0.100148
0.004527,3.507664,0.100148
0.004975,3.656734,0.100148
0.004931,3.715105,0.100148
0.005630,3.736421,0.100148
0.004887,3.666387,0.100148
0.005397,3.904408,0.100148
0.005421,3.990990,0.100148
0.005668,4.333537,0.100148
0.005488,4.306727,0.100148
0.005662,4.051291,0.100148
0.005316,4.199491,0.100148
0.005570,4.396290,0.100148
0.006093,4.520248,0.100148
0.005856,4.487709,0.100148
0.006128,4.573655,0.100148
0.006267,4.494612,0.100148
0.006123,4.986551,0.100148
0.006220,4.841687,0.100148
0.006465,4.834965,0.100148
0.006476,5.324043,0.100148
0.006443,5.164407,0.100148
0.006910,5.553242,0.100148
0.006688,5.241345,0.100148
0.007401,5.499273,0.100148
0.007161,5.505453,0.100148
0.006951,5.465137,0.100148
0.007169,5.901207,0.100148
0.008090,6.695284,0.100148
0.008423,6.153532,0.100148
0.008532,5.864472,0.100148
0.007620,5.571996,0.100148
0.007791,5.726122,0.100148
0.008161,5.624980,0.100148
0.007821,5.918561,0.100148
0.008143,6.160845,0.100148
0.008124,6.340909,0.100148
0.007758,6.303393,0.100148
0.008038,6.255523,0.100148
0.008953,6.321609,0.100148
0.008731,6.480186,0.100148
0.008515,6.556964,0.100148
0.008230,6.698729,0.100148
0.008607,6.957702,0.100148
0.008804,6.831552,0.100148
0.008227,6.931761,0.100148
0.008388,6.527009,0.100148
0.009147,7.165344,0.100148
0.011534,6.957003,0.100148
